0.011575,0.011432,0.003422,0.011706,0.000229,0.000000
0.012180,0.011428,0.001832,0.011895,0.000217,0.000000
0.012020,0.011727,0.001045,0.011347,0.000230,0.000000
0.011466,0.012045,0.000640,0.011360,0.000237,0.000000
0.011456,0.011420,0.000450,0.011727,0.000238,0.000000
0.012722,0.011434,0.000349,0.011690,0.000251,0.000000
0.011464,0.012108,0.000316,0.011352,0.000230,0.000000
0.011467,0.011855,0.000338,0.011515,0.000226,0.000000
0.012042,0.011416,0.000313,0.011784,0.000231,0.000000
0.011974,0.011537,0.000328,0.011361,0.000236,0.000000
0.011448,0.012045,0.000316,0.011342,0.000231,0.000000
0.011502,0.011468,0.000316,0.011893,0.000232,0.000000
0.012110,0.011444,0.000316,0.011339,0.000228,0.000000
0.011451,0.012053,0.000332,0.011335,0.000235,0.000000
0.011447,0.011441,0.000338,0.011812,0.000236,0.000000
0.012107,0.011442,0.000366,0.011487,0.000245,0.000000
0.011477,0.012061,0.000476,0.011365,0.000233,0.000000
0.011469,0.011957,0.000675,0.011399,0.000234,0.000000
